Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

Designator D10                      0mil          0mil   1006.438mil   1002.625mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1006.312mil   1002.625mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1006.312mil   1002.688mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1006.188mil   1002.688mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1006.188mil    1002.75mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1006.125mil    1002.75mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1006.125mil   1002.812mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1006.062mil   1002.812mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1006.062mil   1002.875mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil       1006mil   1002.875mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil       1006mil   1002.938mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1005.938mil   1002.938mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1005.938mil   1003.062mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1005.875mil   1003.062mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1005.875mil   1003.875mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1005.938mil   1003.875mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1005.938mil       1004mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil       1006mil       1004mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil       1006mil   1004.125mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1006.062mil   1004.125mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1006.062mil   1004.188mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1006.188mil   1004.188mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1006.188mil    1004.25mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil    1006.25mil    1004.25mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil    1006.25mil   1004.312mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1006.438mil   1004.312mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1006.438mil   1004.375mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil    1007.25mil   1004.375mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil    1007.25mil   1004.375mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil    1007.25mil   1004.312mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil   1007.375mil   1004.312mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil   1007.375mil    1004.25mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil     1007.5mil    1004.25mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil     1007.5mil   1004.188mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil   1007.562mil   1004.188mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil   1007.562mil   1004.125mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil   1007.625mil   1004.125mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil   1007.625mil   1004.062mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil   1007.688mil   1004.062mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil   1007.688mil   1003.938mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil    1007.75mil   1003.938mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil    1007.75mil    1003.75mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil   1007.812mil    1003.75mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil   1007.812mil   1003.438mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil   1007.188mil   1003.438mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil   1007.188mil   1003.625mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil   1007.125mil   1003.625mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil   1007.125mil   1003.812mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil   1007.062mil   1003.812mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil   1007.062mil   1003.875mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil   1006.625mil   1003.875mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil   1006.625mil   1003.812mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil   1006.562mil   1003.812mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil   1006.562mil   1003.688mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil     1006.5mil   1003.688mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil     1006.5mil   1003.375mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil   1006.562mil   1003.375mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil   1006.562mil   1003.312mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil   1006.625mil   1003.312mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil   1006.625mil    1003.25mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil   1006.688mil    1003.25mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil   1006.688mil   1003.188mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil   1006.812mil   1003.188mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil   1006.812mil   1003.125mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil   1006.938mil   1003.125mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil   1006.938mil   1003.062mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil   1007.062mil   1003.062mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil   1007.062mil       1003mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil    1007.25mil       1003mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil    1007.25mil   1002.938mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil   1007.375mil   1002.938mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil   1007.375mil   1002.875mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil     1007.5mil   1002.875mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil     1007.5mil   1002.812mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil   1007.562mil   1002.812mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil   1007.562mil    1002.75mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil   1007.688mil    1002.75mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil   1007.688mil   1002.688mil          0mil          0mil  T          0.00 Comment        
